Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Baltimore, MD",2014,7,175,,102,,53,,15,,3,,2,,17,,"Baltimore, MD
(39.2905806980005, -76.60925970899967)",
"Charlotte, NC",2014,7,114,,88,,14,,6,,4,,2,,15,,"Charlotte, NC
(35.22286327700044, -80.83795956899968)",
"Jacksonville, FL",2014,7,169,,115,,41,,8,,2,,3,,11,,"Jacksonville, FL
(30.331471355000474, -81.65621662999968)",
"Miami, FL",2014,7,83,,69,,11,,2,,1,,,-,3,,"Miami, FL
(25.77481304000048, -80.19772778299966)",
"Norfolk, VA",2014,7,57,,37,,15,,2,,1,,2,,3,,"Norfolk, VA
(36.84682304600045, -76.28505728799968)",
"Richmond, VA",2014,7,63,,34,,19,,6,,3,,1,,2,,"Richmond, VA
(37.54070224600048, -77.43364879599966)",
"Savannah, GA",2014,7,90,,51,,29,,7,,1,,2,,5,,"Savannah, GA
(32.080912122000484, -81.09118590699967)",
"St. Petersburg, FL",2014,7,70,,52,,13,,2,,1,,2,,8,,"St. Petersburg, FL
(27.771191804000466, -82.63875661699967)",
"Tampa, FL",2014,7,126,,80,,31,,6,,8,,1,,9,,"Tampa, FL
(27.946532922000472, -82.45926644299965)",
"Washington, D.C.",2014,7,69,,46,,20,,,-,3,,,-,8,,"Washington, D.C.
(38.89510854700046, -77.03636591599968)",
"Wilmington, DE",2014,7,19,,16,,2,,1,,,-,,-,3,,"Wilmington, DE
(39.7402328550005, -75.55083980499967)",
E.S. Central,2014,7,925,,606,,236,,51,,18,,14,,108,,,
"Birmingham, AL",2014,7,204,,132,,53,,11,,5,,3,,29,,"Birmingham, AL
(33.520683327000484, -86.81175909799964)",
"Chattanooga, TN",2014,7,58,,42,,11,,4,,1,,,-,4,,"Chattanooga, TN
(35.046441350000464, -85.30945730199966)",
"Knoxville, TN",2014,7,85,,56,,21,,4,,1,,3,,15,,"Knoxville, TN
(35.960492900000474, -83.92090839299965)",
"Lexington, KY",2014,7,78,,45,,25,,5,,1,,2,,2,,"Lexington, KY
(38.04859302400047, -84.50031565799964)",
"Memphis, TN",2014,7,181,,123,,42,,7,,5,,4,,28,,"Memphis, TN
(35.14976130600047, -90.04924570399965)",
"Mobile, AL",2014,7,123,,84,,32,,6,,1,,,-,12,,"Mobile, AL
(30.686391968000464, -88.05323763099966)",
"Montgomery, AL",2014,7,39,,27,,9,,3,,,-,,-,4,,"Montgomery, AL
(32.38012195900046, -86.30062589499965)",
"Nashville, TN",2014,7,157,,97,,43,,11,,4,,2,,14,,"Nashville, TN
(36.16784292800048, -86.77815577199965)",
W.S. Central,2014,7,1627,,1062,,382,,118,,40,,24,,95,,,
"Austin, TX",2014,7,116,,77,,27,,6,,3,,3,,13,,"Austin, TX
(30.267600919000472, -97.74297813599969)",
"Baton Rouge, LA",2014,7,127,,87,,29,,8,,1,,2,,6,,"Baton Rouge, LA
(30.443343989000482, -91.18698893099969)",
"Corpus Christi, TX",2014,7,,U,,U,,U,,U,,U,,U,,U,"Corpus Christi, TX
(27.79641216300047, -97.40355953599965)",
"Dallas, TX",2014,7,246,,153,,64,,16,,7,,6,,20,,"Dallas, TX
(32.778154335000465, -96.79539918599966)",
"El Paso, TX",2014,7,148,,108,,32,,3,,3,,1,,,-,"El Paso, TX
(31.759161618000462, -106.4874888869997)",
"Fort Worth, TX",2014,7,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.750951005000445, -97.33085951799967)",
"Houston, TX",2014,7,365,,229,,89,,33,,12,,2,,13,,"Houston, TX
(29.760451522000437, -95.36977674999969)",
"Little Rock, AR",2014,7,117,,73,,29,,11,,3,,1,,8,,"Little Rock, AR
(34.748651751000466, -92.27448794899965)",
"New Orleans, LA",2014,7,91,,49,,22,,12,,4,,4,,3,,"New Orleans, LA
(29.953701909000472, -90.07774868499968)",
"San Antonio, TX",2014,7,285,,189,,61,,24,,7,,4,,24,,"San Antonio, TX
(29.42458351300047, -98.49460914499969)",
"Shreveport, LA",2014,7,76,,52,,20,,3,,,-,1,,5,,"Shreveport, LA
(32.51461118700047, -93.74726848099965)",
"Tulsa, OK",2014,7,56,,45,,9,,2,,,-,,-,3,,"Tulsa, OK
(36.149741615000494, -95.99332745899966)",
Mountain,2014,7,1288,,849,,313,,74,,31,,18,,108,,,
"Albuquerque, NM",2014,7,149,,95,,35,,8,,6,,4,,12,,"Albuquerque, NM
(35.08418033400045, -106.64863657599966)",
"Boise, ID",2014,7,46,,38,,7,,1,,,-,,-,4,,"Boise, ID
(43.6069823790005, -116.1934057949997)",
"Colorado Springs, CO",2014,7,94,,71,,17,,4,,1,,1,,5,,"Colorado Springs, CO
(38.83343433700048, -104.82180632899968)",
"Denver, CO",2014,7,121,,76,,30,,5,,4,,6,,8,,"Denver, CO
(39.74001401400045, -104.9922972059997)",
"Las Vegas, NV",2014,7,297,,191,,79,,16,,9,,2,,22,,"Las Vegas, NV
(36.17191159200047, -115.13996564999968)",
"Ogden, UT",2014,7,38,,19,,13,,5,,,-,1,,6,,"Ogden, UT
(41.22236104300049, -111.97047620299969)",
"Phoenix, AZ",2014,7,175,,111,,41,,17,,4,,,-,28,,"Phoenix, AZ
(33.448260210000456, -112.0757657309997)",
"Pueblo, CO",2014,7,28,,18,,7,,2,,1,,,-,2,,"Pueblo, CO
(38.26386153800047, -104.61236614299969)",
"Salt Lake City, UT",2014,7,142,,91,,37,,6,,4,,4,,11,,"Salt Lake City, UT
(40.92177563200045, -111.9868580479997)",
"Tucson, AZ",2014,7,198,,139,,47,,10,,2,,,-,10,,"Tucson, AZ
(32.22155124200049, -110.96975897999971)",
Pacific,2014,7,1979,,1336,,458,,118,,36,,30,,217,,,
"Berkeley, CA",2014,7,15,,10,,2,,1,,1,,1,,3,,"Berkeley, CA
(37.86988442700044, -122.2705386769997)",
"Fresno, CA",2014,7,147,,107,,27,,10,,1,,2,,21,,"Fresno, CA
(36.74068048300046, -119.78572815899969)",
"Glendale, CA",2014,7,41,,29,,8,,2,,1,,1,,6,,"Glendale, CA
(34.146333127000446, -118.24863950799971)",
"Honolulu, HI",2014,7,80,,54,,21,,2,,2,,1,,14,,"Honolulu, HI
(21.30485166200043, -157.85774691599974)",
"Long Beach, CA",2014,7,62,,44,,16,,1,,,-,1,,5,,"Long Beach, CA
(33.76672362600044, -118.19239725799969)",
"Los Angeles, CA",2014,7,283,,168,,83,,22,,7,,3,,28,,"Los Angeles, CA
(34.05349076500045, -118.24531669099969)",
"Pasadena, CA",2014,7,38,,27,,7,,2,,,-,1,,4,,"Pasadena, CA
(34.14745413100047, -118.14426554199969)",
"Portland, OR",2014,7,150,,107,,29,,10,,3,,1,,13,,"Portland, OR
(45.511787169000456, -122.6756275729997)",
"Sacramento, CA",2014,7,247,,157,,68,,18,,3,,1,,37,,"Sacramento, CA
(38.57933263300049, -121.49089596399972)",
"San Diego, CA",2014,7,187,,129,,35,,14,,2,,7,,22,,"San Diego, CA
(32.71569073700044, -117.16171662299968)",
"San Francisco, CA",2014,7,131,,75,,45,,8,,1,,2,,19,,"San Francisco, CA
(37.777122455000494, -122.4196366869997)",
"San Jose, CA",2014,7,218,,163,,34,,10,,7,,4,,22,,"San Jose, CA
(37.33858208200047, -121.8855697949997)",
"Santa Cruz, CA",2014,7,51,,38,,10,,2,,1,,,-,2,,"Santa Cruz, CA
(36.974023514000464, -122.03094750099973)",
"Seattle, WA",2014,7,117,,71,,29,,8,,5,,4,,6,,"Seattle, WA
(47.603567400000486, -122.32944721899969)",
"Spokane, WA",2014,7,76,,55,,15,,5,,,-,1,,3,,"Spokane, WA
(47.65725947700048, -117.41227666799972)",
"Tacoma, WA",2014,7,136,,102,,29,,3,,2,,,-,12,,"Tacoma, WA
(47.255127174000506, -122.44163694999969)",
Total¶,2014,7,12144,,8101,,2907,,721,,243,,162,,1001,,,
New England,2014,8,634,,440,,139,,37,,6,,12,,69,,,
"Boston, MA",2014,8,155,,95,,45,,7,,3,,5,,15,,"Boston, MA
(42.35866170200046, -71.05673887699965)",
"Bridgeport, CT",2014,8,37,,25,,8,,4,,,-,,-,3,,"Bridgeport, CT
(41.1818843100005, -73.19126911399962)",
"Cambridge, MA",2014,8,13,,12,,1,,,-,,-,,-,2,,"Cambridge, MA
(42.36679009800048, -71.10600946299962)",
"Fall River, MA",2014,8,36,,27,,7,,1,,,-,1,,2,,"Fall River, MA
(41.697354146000464, -71.14364572399967)",
"Hartford, CT",2014,8,65,,47,,11,,6,,1,,,-,11,,"Hartford, CT
(41.763493388000484, -72.67401728199962)",
"Lowell, MA",2014,8,20,,12,,5,,3,,,-,,-,1,,"Lowell, MA
(42.64588438700048, -71.31283694999962)",
"Lynn, MA",2014,8,8,,8,,,-,,-,,-,,-,2,,"Lynn, MA
(42.463701125000455, -70.95021669199963)",
"New Bedford, MA",2014,8,25,,16,,9,,,-,,-,,-,1,,"New Bedford, MA
(41.637672961000476, -70.93086932199964)",
"New Haven, CT",2014,8,54,,40,,9,,2,,1,,2,,9,,"New Haven, CT
(41.307624346000466, -72.92461752399964)",
"Providence, RI",2014,8,63,,44,,15,,3,,,-,1,,4,,"Providence, RI
(41.82387129300048, -71.41198998599964)",
"Somerville, MA",2014,8,3,,,-,1,,2,,,-,,-,,-,"Somerville, MA
(42.38668233800047, -71.09825622299962)",
"Springfield, MA",2014,8,43,,28,,12,,3,,,-,,-,2,,"Springfield, MA
(42.10125058000045, -72.58928991799962)",
"Waterbury, CT",2014,8,32,,26,,5,,1,,,-,,-,4,,"Waterbury, CT
(41.55407106600046, -73.04616830899965)",
"Worcester, MA",2014,8,80,,60,,11,,5,,1,,3,,13,,"Worcester, MA
(42.26341208400049, -71.80218873199965)",
Mid. Atlantic,2014,8,1626,,1175,,357,,65,,19,,10,,103,,,
"Albany, NY",2014,8,53,,37,,11,,3,,,-,2,,3,,"Albany, NY
(42.65155193300046, -73.75520562899965)",
"Allentown, PA",2014,8,39,,31,,7,,1,,,-,,-,1,,"Allentown, PA
(40.6026020970005, -75.47025702899964)",
"Buffalo, NY",2014,8,93,,64,,24,,4,,,-,1,,7,,"Buffalo, NY
(42.88544430100046, -78.87845781999965)",
"Camden, NJ",2014,8,45,,30,,9,,5,,,-,1,,1,,"Camden, NJ
(39.94525155200046, -75.11912817799964)",
"Elizabeth, NJ",2014,8,29,,19,,8,,2,,,-,,-,3,,"Elizabeth, NJ
(40.66351147400047, -74.21145875999963)",
"Erie, PA",2014,8,54,,42,,8,,3,,1,,,-,8,,"Erie, PA
(42.1294409300005, -80.08523881899964)",
"Jersey City, NJ",2014,8,23,,15,,6,,2,,,-,,-,6,,"Jersey City, NJ
(40.71747152000046, -74.04383961799965)",
"New York City, NY",2014,8,789,,564,,180,,30,,11,,4,,44,,"New York City, NY
(40.71455065700047, -74.00711891899965)",
"Newark, NJ",2014,8,30,,14,,12,,2,,2,,,-,1,,"Newark, NJ
(40.73197311400048, -74.17420658799966)",
"Paterson, NJ",2014,8,19,,16,,2,,1,,,-,,-,1,,"Paterson, NJ
(40.916612760000476, -74.17163854999967)",
"Philadelphia, PA",2014,8,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228127500047, -75.16244984999963)",
"Pittsburgh, PA§",2014,8,52,,40,,9,,2,,1,,,-,3,,"Pittsburgh, PA
(40.43834150200047, -79.99746553899968)",
"Reading, PA",2014,8,42,,28,,12,,,-,1,,1,,2,,"Reading, PA
(40.33662042900045, -75.92783660599963)",
"Rochester, NY",2014,8,171,,132,,30,,7,,1,,1,,13,,"Rochester, NY
(43.15580279700049, -77.61631886899966)",
"Schenectady, NY",2014,8,15,,12,,2,,1,,,-,,-,1,,"Schenectady, NY
(42.8122530060005, -73.94101987199963)",
"Scranton, PA",2014,8,36,,26,,8,,,-,2,,,-,2,,"Scranton, PA
(41.41015379200047, -75.66077859599966)",
"Syracuse, NY",2014,8,91,,71,,18,,2,,,-,,-,5,,"Syracuse, NY
(43.0499907300005, -76.14738815999965)",
"Trenton, NJ",2014,8,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ
(40.217883319000464, -74.75939751899966)",
"Utica, NY",2014,8,19,,15,,4,,,-,,-,,-,1,,"Utica, NY
(43.09589383800045, -75.24257707799967)",
"Yonkers, NY",2014,8,26,,19,,7,,,-,,-,,-,1,,"Yonkers, NY
(40.93299013900048, -73.89873881399967)",
E.N. Central,2014,8,1817,,1243,,441,,79,,20,,34,,126,,,
"Akron, OH",2014,8,43,,25,,13,,1,,1,,3,,3,,"Akron, OH
(41.08419170600047, -81.51405901999965)",
"Canton, OH",2014,8,41,,30,,10,,,-,,-,1,,3,,"Canton, OH
(40.79781312300048, -81.37156644799967)",
"Chicago, IL",2014,8,242,,149,,70,,14,,4,,5,,13,,"Chicago, IL
(41.88425366500047, -87.63244574499964)",
"Cincinnati, OH",2014,8,,U,,U,,U,,U,,U,,U,,U,"Cincinnati, OH
(39.10713351400045, -84.50412975199964)",
"Cleveland, OH",2014,8,239,,164,,58,,12,,1,,4,,18,,"Cleveland, OH
(41.50475135200048, -81.69071765199965)",
"Columbus, OH",2014,8,216,,144,,57,,7,,1,,7,,15,,"Columbus, OH
(39.96199068800047, -83.00274798399965)",
"Dayton, OH",2014,8,119,,83,,26,,9,,1,,,-,8,,"Dayton, OH
(39.75911127900048, -84.19443785699968)",
"Detroit, MI",2014,8,,U,,U,,U,,U,,U,,U,,U,"Detroit, MI
(42.331681680000486, -83.04799903299966)",
"Evansville, IN",2014,8,53,,39,,12,,2,,,-,,-,6,,"Evansville, IN
(37.97708100100044, -87.56404663099966)",
"Fort Wayne, IN",2014,8,71,,52,,16,,2,,,-,1,,6,,"Fort Wayne, IN
(41.08026149200049, -85.13830990099967)",
"Gary, IN",2014,8,18,,10,,7,,,-,1,,,-,,-,"Gary, IN
(41.603712343000495, -87.33716612199964)",
"Grand Rapids, MI",2014,8,65,,46,,12,,2,,1,,4,,6,,"Grand Rapids, MI
(42.966411166000455, -85.67117986599965)",
"Indianapolis, IN",2014,8,187,,122,,51,,9,,4,,1,,11,,"Indianapolis, IN
(39.76691364600049, -86.14995579899966)",
"Lansing, MI",2014,8,59,,44,,11,,2,,2,,,-,2,,"Lansing, MI
(42.731942666000464, -84.55224806999968)",
"Milwaukee, WI",2014,8,86,,56,,23,,5,,,-,2,,9,,"Milwaukee, WI
(43.041813206000484, -87.90683717599967)",
"Peoria, IL",2014,8,75,,50,,17,,3,,1,,4,,4,,"Peoria, IL
(40.69214397400049, -89.58775824399964)",
"Rockford, IL",2014,8,53,,34,,16,,3,,,-,,-,5,,"Rockford, IL
(42.2669001480005, -89.07834897499964)",
"South Bend, IN",2014,8,69,,57,,10,,,-,1,,1,,7,,"South Bend, IN
(41.679051856000456, -86.25403946499966)",
"Toledo, OH",2014,8,103,,74,,21,,5,,2,,1,,2,,"Toledo, OH
(41.65381363300048, -83.53625660699964)",
"Youngstown, OH",2014,8,78,,64,,11,,3,,,-,,-,8,,"Youngstown, OH
(41.09810376900049, -80.65078761499967)",
W.N. Central,2014,8,684,,446,,166,,32,,19,,20,,74,,,
"Des Moines, IA",2014,8,69,,49,,15,,1,,2,,2,,6,,"Des Moines, IA
(41.58976008400049, -93.61564652299967)",
"Duluth, MN",2014,8,31,,23,,7,,,-,1,,,-,9,,"Duluth, MN
(46.787958768000465, -92.09984801699966)",
"Kansas City, KS",2014,8,24,,16,,5,,3,,,-,,-,4,,"Kansas City, KS
(39.11352011100047, -94.6268190079997)",
"Kansas City, MO",2014,8,107,,74,,26,,,-,4,,3,,8,,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",
"Lincoln, NC",2014,8,46,,36,,9,,,-,,-,1,,6,,"Lincoln, NC
(35.568614881000485, -81.50048638499965)",
"Minneapolis, MN",2014,8,80,,49,,18,,5,,2,,5,,10,,"Minneapolis, MN
(44.97902885900049, -93.26492855899966)",
"Omaha, NE",2014,8,92,,69,,15,,7,,1,,,-,15,,"Omaha, NE
(41.2606940230005, -95.94058667399969)",
"St. Louis, MO",2014,8,73,,24,,28,,12,,5,,4,,4,,"St. Louis, MO
(38.62775018400049, -90.19955850799965)",
"St. Paul, MN",2014,8,61,,44,,13,,,-,1,,3,,5,,"St. Paul, MN
(44.9438177180005, -93.09331667699968)",
"Wichita, KS",2014,8,101,,62,,30,,4,,3,,2,,7,,"Wichita, KS
(37.68698211500049, -97.33557577399966)",
S. Atlantic,2014,8,1180,,758,,298,,73,,26,,24,,71,,,
"Atlanta, GA",2014,8,171,,101,,48,,15,,6,,1,,12,,"Atlanta, GA
(33.748314149000464, -84.39110931499965)",
"Baltimore, MD",2014,8,152,,85,,44,,15,,2,,6,,15,,"Baltimore, MD
(39.2905806980005, -76.60925970899967)",
"Charlotte, NC",2014,8,202,,138,,45,,11,,5,,3,,10,,"Charlotte, NC
(35.22286327700044, -80.83795956899968)",
"Jacksonville, FL",2014,8,185,,118,,54,,7,,3,,2,,11,,"Jacksonville, FL
(30.331471355000474, -81.65621662999968)",
"Miami, FL",2014,8,73,,54,,14,,2,,2,,1,,3,,"Miami, FL
(25.77481304000048, -80.19772778299966)",
"Norfolk, VA",2014,8,57,,37,,12,,4,,3,,1,,4,,"Norfolk, VA
(36.84682304600045, -76.28505728799968)",
"Richmond, VA",2014,8,71,,48,,14,,6,,2,,1,,1,,"Richmond, VA
(37.54070224600048, -77.43364879599966)",
"Savannah, GA",2014,8,58,,43,,10,,4,,1,,,-,5,,"Savannah, GA
(32.080912122000484, -81.09118590699967)",
"St. Petersburg, FL",2014,8,63,,50,,12,,1,,,-,,-,5,,"St. Petersburg, FL
(27.771191804000466, -82.63875661699967)",
"Tampa, FL",2014,8,119,,71,,39,,4,,2,,3,,5,,"Tampa, FL
(27.946532922000472, -82.45926644299965)",
"Washington, D.C.",2014,8,11,,1,,3,,1,,,-,6,,,-,"Washington, D.C.
(38.89510854700046, -77.03636591599968)",
"Wilmington, DE",2014,8,18,,12,,3,,3,,,-,,-,,-,"Wilmington, DE
(39.7402328550005, -75.55083980499967)",
E.S. Central,2014,8,961,,639,,249,,37,,19,,17,,89,,,
"Birmingham, AL",2014,8,173,,108,,52,,8,,1,,4,,22,,"Birmingham, AL
(33.520683327000484, -86.81175909799964)",
"Chattanooga, TN",2014,8,113,,79,,27,,4,,1,,2,,4,,"Chattanooga, TN
(35.046441350000464, -85.30945730199966)",
"Knoxville, TN",2014,8,136,,89,,39,,5,,2,,1,,20,,"Knoxville, TN
(35.960492900000474, -83.92090839299965)",
"Lexington, KY",2014,8,69,,47,,20,,2,,,-,,-,3,,"Lexington, KY
(38.04859302400047, -84.50031565799964)",
"Memphis, TN",2014,8,154,,103,,37,,6,,6,,2,,12,,"Memphis, TN
(35.14976130600047, -90.04924570399965)",
"Mobile, AL",2014,8,72,,57,,11,,1,,2,,1,,4,,"Mobile, AL
(30.686391968000464, -88.05323763099966)",
"Montgomery, AL",2014,8,74,,47,,18,,3,,5,,1,,6,,"Montgomery, AL
(32.38012195900046, -86.30062589499965)",
"Nashville, TN",2014,8,170,,109,,45,,8,,2,,6,,18,,"Nashville, TN
(36.16784292800048, -86.77815577199965)",
W.S. Central,2014,8,1585,,1016,,408,,104,,22,,35,,92,,,
"Austin, TX",2014,8,99,,60,,28,,6,,3,,2,,6,,"Austin, TX
(30.267600919000472, -97.74297813599969)",
"Baton Rouge, LA",2014,8,134,,97,,28,,5,,,-,4,,6,,"Baton Rouge, LA
(30.443343989000482, -91.18698893099969)",
"Corpus Christi, TX",2014,8,61,,45,,7,,6,,1,,2,,10,,"Corpus Christi, TX
(27.79641216300047, -97.40355953599965)",
"Dallas, TX",2014,8,253,,134,,81,,21,,4,,13,,18,,"Dallas, TX
(32.778154335000465, -96.79539918599966)",
"El Paso, TX",2014,8,104,,75,,25,,4,,,-,,-,2,,"El Paso, TX
(31.759161618000462, -106.4874888869997)",
"Fort Worth, TX",2014,8,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.750951005000445, -97.33085951799967)",
"Houston, TX",2014,8,384,,229,,115,,26,,9,,5,,12,,"Houston, TX
(29.760451522000437, -95.36977674999969)",
"Little Rock, AR",2014,8,45,,26,,14,,2,,,-,3,,1,,"Little Rock, AR
(34.748651751000466, -92.27448794899965)",
"New Orleans, LA",2014,8,92,,61,,23,,4,,2,,2,,4,,"New Orleans, LA
(29.953701909000472, -90.07774868499968)",
"San Antonio, TX",2014,8,285,,200,,58,,23,,3,,1,,21,,"San Antonio, TX
(29.42458351300047, -98.49460914499969)",
"Shreveport, LA",2014,8,73,,54,,14,,4,,,-,1,,10,,"Shreveport, LA
(32.51461118700047, -93.74726848099965)",
"Tulsa, OK",2014,8,55,,35,,15,,3,,,-,2,,2,,"Tulsa, OK
(36.149741615000494, -95.99332745899966)",
Mountain,2014,8,1240,,813,,271,,93,,41,,20,,86,,,
"Albuquerque, NM",2014,8,129,,74,,32,,16,,5,,2,,9,,"Albuquerque, NM
(35.08418033400045, -106.64863657599966)",
"Boise, ID",2014,8,69,,53,,11,,2,,1,,2,,8,,"Boise, ID
(43.6069823790005, -116.1934057949997)",
"Colorado Springs, CO",2014,8,93,,43,,11,,22,,15,,2,,6,,"Colorado Springs, CO
(38.83343433700048, -104.82180632899968)",
"Denver, CO",2014,8,87,,52,,28,,6,,,-,1,,3,,"Denver, CO
(39.74001401400045, -104.9922972059997)",
"Las Vegas, NV",2014,8,307,,223,,57,,16,,8,,3,,19,,"Las Vegas, NV
(36.17191159200047, -115.13996564999968)",
"Ogden, UT",2014,8,34,,23,,8,,1,,,-,2,,4,,"Ogden, UT
(41.22236104300049, -111.97047620299969)",
"Phoenix, AZ",2014,8,149,,90,,42,,9,,5,,2,,15,,"Phoenix, AZ
(33.448260210000456, -112.0757657309997)",
"Pueblo, CO",2014,8,50,,36,,11,,3,,,-,,-,2,,"Pueblo, CO
(38.26386153800047, -104.61236614299969)",
"Salt Lake City, UT",2014,8,145,,93,,37,,7,,5,,3,,13,,"Salt Lake City, UT
(40.92177563200045, -111.9868580479997)",
"Tucson, AZ",2014,8,177,,126,,34,,11,,2,,3,,7,,"Tucson, AZ
(32.22155124200049, -110.96975897999971)",
Pacific,2014,8,1684,,1166,,377,,88,,28,,24,,153,,,
"Berkeley, CA",2014,8,21,,13,,5,,2,,,-,1,,2,,"Berkeley, CA
(37.86988442700044, -122.2705386769997)",
"Fresno, CA",2014,8,103,,72,,21,,10,,,-,,-,10,,"Fresno, CA
(36.74068048300046, -119.78572815899969)",
"Glendale, CA",2014,8,36,,25,,8,,2,,,-,1,,4,,"Glendale, CA
(34.146333127000446, -118.24863950799971)",
"Honolulu, HI",2014,8,69,,50,,16,,2,,1,,,-,6,,"Honolulu, HI
(21.30485166200043, -157.85774691599974)",
"Long Beach, CA",2014,8,69,,37,,25,,4,,2,,1,,11,,"Long Beach, CA
(33.76672362600044, -118.19239725799969)",
"Los Angeles, CA",2014,8,223,,147,,53,,16,,3,,4,,25,,"Los Angeles, CA
(34.05349076500045, -118.24531669099969)",
"Pasadena, CA",2014,8,26,,20,,5,,,-,1,,,-,2,,"Pasadena, CA
(34.14745413100047, -118.14426554199969)",
"Portland, OR",2014,8,148,,111,,29,,5,,1,,2,,9,,"Portland, OR
(45.511787169000456, -122.6756275729997)",
"Sacramento, CA",2014,8,187,,134,,37,,10,,1,,4,,13,,"Sacramento, CA
(38.57933263300049, -121.49089596399972)",
"San Diego, CA",2014,8,164,,109,,38,,9,,4,,4,,12,,"San Diego, CA
(32.71569073700044, -117.16171662299968)",
"San Francisco, CA",2014,8,103,,72,,22,,6,,2,,1,,10,,"San Francisco, CA
(37.777122455000494, -122.4196366869997)",
"San Jose, CA",2014,8,219,,157,,45,,7,,8,,2,,20,,"San Jose, CA
(37.33858208200047, -121.8855697949997)",
"Santa Cruz, CA",2014,8,30,,23,,4,,2,,1,,,-,4,,"Santa Cruz, CA
(36.974023514000464, -122.03094750099973)",
"Seattle, WA",2014,8,103,,72,,25,,4,,,-,2,,2,,"Seattle, WA
(47.603567400000486, -122.32944721899969)",
"Spokane, WA",2014,8,66,,47,,13,,5,,,-,1,,11,,"Spokane, WA
(47.65725947700048, -117.41227666799972)",
"Tacoma, WA",2014,8,117,,77,,31,,4,,4,,1,,12,,"Tacoma, WA
(47.255127174000506, -122.44163694999969)",
Total¶,2014,8,11411,,7696,,2706,,608,,200,,196,,863,,,
New England,2014,9,641,,449,,141,,33,,7,,11,,71,,,
"Boston, MA",2014,9,137,,83,,39,,9,,2,,4,,15,,"Boston, MA
(42.35866170200046, -71.05673887699965)",
"Bridgeport, CT",2014,9,36,,25,,9,,1,,,-,1,,2,,"Bridgeport, CT
(41.1818843100005, -73.19126911399962)",
"Cambridge, MA",2014,9,24,,21,,2,,,-,,-,1,,6,,"Cambridge, MA
(42.36679009800048, -71.10600946299962)",
"Fall River, MA",2014,9,24,,21,,1,,2,,,-,,-,6,,"Fall River, MA
(41.697354146000464, -71.14364572399967)",
"Hartford, CT",2014,9,66,,41,,15,,5,,3,,2,,3,,"Hartford, CT
(41.763493388000484, -72.67401728199962)",
"Lowell, MA",2014,9,20,,15,,3,,2,,,-,,-,1,,"Lowell, MA
(42.64588438700048, -71.31283694999962)",
"Lynn, MA",2014,9,12,,6,,6,,,-,,-,,-,1,,"Lynn, MA
(42.463701125000455, -70.95021669199963)",
"New Bedford, MA",2014,9,31,,26,,5,,,-,,-,,-,2,,"New Bedford, MA
(41.637672961000476, -70.93086932199964)",
"New Haven, CT",2014,9,40,,28,,8,,4,,,-,,-,5,,"New Haven, CT
(41.307624346000466, -72.92461752399964)",
"Providence, RI",2014,9,84,,61,,18,,3,,,-,2,,5,,"Providence, RI
(41.82387129300048, -71.41198998599964)",
"Somerville, MA",2014,9,5,,4,,,-,,-,1,,,-,,-,"Somerville, MA
(42.38668233800047, -71.09825622299962)",
"Springfield, MA",2014,9,47,,31,,12,,2,,1,,1,,4,,"Springfield, MA
(42.10125058000045, -72.58928991799962)",
"Waterbury, CT",2014,9,41,,31,,7,,3,,,-,,-,4,,"Waterbury, CT
(41.55407106600046, -73.04616830899965)",
"Worcester, MA",2014,9,74,,56,,16,,2,,,-,,-,17,,"Worcester, MA
(42.26341208400049, -71.80218873199965)",
Mid. Atlantic,2014,9,2003,,1454,,416,,88,,25,,20,,122,,,
"Albany, NY",2014,9,58,,38,,15,,2,,,-,3,,6,,"Albany, NY
(42.65155193300046, -73.75520562899965)",
"Allentown, PA",2014,9,44,,40,,4,,,-,,-,,-,3,,"Allentown, PA
(40.6026020970005, -75.47025702899964)",
"Buffalo, NY",2014,9,98,,62,,29,,6,,1,,,-,9,,"Buffalo, NY
(42.88544430100046, -78.87845781999965)",
"Camden, NJ",2014,9,,U,,U,,U,,U,,U,,U,,U,"Camden, NJ
(39.94525155200046, -75.11912817799964)",
"Elizabeth, NJ",2014,9,14,,8,,5,,1,,,-,,-,2,,"Elizabeth, NJ
(40.66351147400047, -74.21145875999963)",
"Erie, PA",2014,9,87,,60,,22,,4,,1,,,-,4,,"Erie, PA
(42.1294409300005, -80.08523881899964)",
"Jersey City, NJ",2014,9,14,,9,,4,,1,,,-,,-,1,,"Jersey City, NJ
(40.71747152000046, -74.04383961799965)",
"New York City, NY",2014,9,1176,,858,,243,,48,,17,,10,,54,,"New York City, NY
(40.71455065700047, -74.00711891899965)",
